,,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3,SEASON
TEAM_ID,TEAM_NAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,
1610612750,Minnesota Timberwolves,1421,2406,0.591,260,781,0.333,812,2038,0.398,75,205,0.366,48,141,0.34,327,1121,0.292,0,10,0.0,123,346,0.355,2012-13
1610612740,New Orleans Hornets,1312,2273,0.577,428,1118,0.383,680,1724,0.394,46,126,0.365,56,140,0.4,433,1192,0.363,0,16,0.0,102,266,0.383,2012-13
1610612752,New York Knicks,1212,2057,0.589,171,491,0.348,721,1768,0.408,122,328,0.372,96,248,0.387,672,1767,0.38,2,30,0.067,218,576,0.378,2012-13
1610612760,Oklahoma City Thunder,1358,2088,0.65,388,951,0.408,782,1876,0.417,102,256,0.398,75,151,0.497,419,1168,0.359,1,13,0.077,177,407,0.435,2012-13
1610612753,Orlando Magic,1323,2190,0.604,467,1085,0.43,797,2092,0.381,81,209,0.388,50,150,0.333,375,1172,0.32,0,6,0.0,131,359,0.365,2012-13
1610612755,Philadelphia 76ers,1210,2066,0.586,385,991,0.388,946,2400,0.394,91,257,0.354,79,191,0.414,348,978,0.356,0,11,0.0,170,448,0.379,2012-13
1610612756,Phoenix Suns,1328,2154,0.617,330,967,0.341,923,2341,0.394,68,184,0.37,82,224,0.366,330,1035,0.319,0,12,0.0,150,408,0.368,2012-13
1610612757,Portland Trail Blazers,1251,2092,0.598,282,730,0.386,803,1989,0.404,111,258,0.43,72,206,0.35,489,1425,0.343,0,13,0.0,183,464,0.394,2012-13
1610612758,Sacramento Kings,1419,2386,0.595,456,1148,0.397,601,1689,0.356,81,214,0.379,97,248,0.391,431,1204,0.358,1,15,0.067,178,462,0.385,2012-13
1610612759,San Antonio Spurs,1419,2237,0.634,410,978,0.419,718,1696,0.423,131,312,0.42,130,322,0.404,402,1117,0.36,0,12,0.0,261,634,0.412,2012-13
1610612761,Toronto Raptors,1170,1877,0.623,408,970,0.421,830,2172,0.382,68,169,0.402,58,187,0.31,444,1298,0.342,0,9,0.0,126,356,0.354,2012-13
1610612762,Utah Jazz,1322,2122,0.623,438,1107,0.396,779,2096,0.372,65,163,0.399,54,152,0.355,388,1054,0.368,0,16,0.0,119,315,0.378,2012-13
1610612764,Washington Wizards,1063,1806,0.589,438,1094,0.4,864,2298,0.376,114,257,0.444,118,251,0.47,313,978,0.32,0,8,0.0,232,508,0.457,2012-13
1610612737,Atlanta Hawks,1236,2002,0.617,447,1083,0.413,610,1487,0.41,111,293,0.379,118,289,0.408,538,1520,0.354,1,13,0.077,229,582,0.393,2013-14
1610612738,Boston Celtics,1223,2097,0.583,326,914,0.357,872,2142,0.407,80,220,0.364,87,211,0.412,408,1282,0.318,0,15,0.0,167,431,0.387,2013-14
1610612751,Brooklyn Nets,1136,1858,0.611,440,1018,0.432,646,1593,0.406,100,236,0.424,90,244,0.369,518,1421,0.365,0,20,0.0,190,480,0.396,2013-14
1610612766,Charlotte Bobcats,1251,2137,0.585,405,936,0.433,804,2186,0.368,54,155,0.348,64,159,0.403,398,1137,0.35,0,17,0.0,118,314,0.376,2013-14
1610612741,Chicago Bulls,1245,2209,0.564,282,811,0.348,808,2098,0.385,75,173,0.434,52,161,0.323,378,1105,0.342,3,20,0.15,127,334,0.38,2013-14
1610612739,Cleveland Cavaliers,1158,2064,0.561,452,1113,0.406,842,2138,0.394,92,226,0.407,68,203,0.335,424,1191,0.356,0,19,0.0,160,429,0.373,2013-14
1610612742,Dallas Mavericks,1274,2000,0.637,443,1086,0.408,811,1894,0.428,93,224,0.415,69,162,0.426,558,1477,0.378,0,14,0.0,162,386,0.42,2013-14
1610612743,Denver Nuggets,1508,2482,0.608,390,1096,0.356,547,1504,0.364,107,241,0.444,98,250,0.392,497,1448,0.343,0,21,0.0,205,491,0.418,2013-14
1610612765,Detroit Pistons,1721,2826,0.609,406,1148,0.354,548,1570,0.349,82,222,0.369,80,181,0.442,344,1152,0.299,0,24,0.0,162,403,0.402,2013-14
1610612744,Golden State Warriors,1295,2089,0.62,489,1211,0.404,678,1668,0.406,119,286,0.416,87,216,0.403,568,1514,0.375,0,21,0.0,206,502,0.41,2013-14
1610612745,Houston Rockets,1638,2621,0.625,450,1075,0.419,251,728,0.345,98,251,0.39,103,268,0.384,573,1645,0.348,1,11,0.091,201,519,0.387,2013-14
1610612754,Indiana Pacers,1129,1910,0.591,444,1090,0.407,826,2031,0.407,74,180,0.411,87,212,0.41,389,1135,0.343,0,14,0.0,161,392,0.411,2013-14
1610612746,Los Angeles Clippers,1414,2088,0.677,307,809,0.379,794,1898,0.418,111,297,0.374,128,294,0.435,451,1357,0.332,1,11,0.091,239,591,0.404,2013-14
1610612747,Los Angeles Lakers,1248,2035,0.613,435,1113,0.391,682,1800,0.379,107,266,0.402,100,243,0.412,566,1511,0.375,0,6,0.0,207,509,0.407,2013-14
